FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,UNCERTAINTY,SAMPLE_METHOD,MEDIUM_CODE,DQM_REASON_CODE,COMPOSITE_YN,RESULT_ERROR_DELTA,COUNTING_ERROR,SAMPLE_START_DATE,ANL_SHORT_NAME,MINIMUM_DETECTABLE_CONC,SAMPLE_END_DATE,ANALYST_NAME,collection_date
1,SRS,FMC-002F,FMC-002F,357287,1Q07FHFMB-001,FMC-002F-SW-2007-03-05T00:00:00,3/5/07,05 Mar 2007,10:35,REG,,,,SW,1Q07FHFMB,,,,LB,F7C080149001,,STLFY07,EPA902.0MOD,3/14/07,00,T,000,,,,,100,1,2313147,15046-84-1,IODINE-129,N,1.42,1.42,pCi/L,1.42,,0.50,1.18,Yes,Y,,,,1.18,,0.50,pCi/L,VU,1.42,1.42,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.34,,3/5/07,I129,,3/5/07,,3/5/07
1,SRS,FMC-002F,FMC-002F,360241,2Q07FHFMB-013,FMC-002F-SW-2007-06-11T00:00:00,6/11/07,11 Jun 2007,14:30,REG,,,,SW,2Q07FHFMB,,,,LB,300475764,,EBLFY07,L3.21-10021,6/30/07,00,T,000,,,,,100,1,2319374,15046-84-1,IODINE-129,N,< 7.87,7.87,pCi/L,7.87,,1.53,4.79,Yes,N,,,,4.79,,1.53,pCi/L,VU,7.87,7.87,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.63,,6/11/07,I129,,6/11/07,,6/11/07
1,SRS,FMC-002F,FMC-002F,362851,3Q07FHFMB-001,FMC-002F-SW-2007-09-18T00:00:00,9/18/07,18 Sep 2007,07:30,REG,,,,SW,3Q07FHFMB,,,,LB,300552413,,EBLFY07,L3.21-10021,11/15/07,00,T,000,,,,,100,1,2332549,15046-84-1,IODINE-129,N,< 2.61,2.61,pCi/L,2.61,,0.5440,2.50,Yes,N,,,,2.50,,0.5440,pCi/L,VU,2.61,2.61,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.9760,,9/18/07,I129,,9/18/07,,9/18/07
1,SRS,FMC-002F,FMC-002F,365754,4Q07FHFMB-001,FMC-002F-SW-2007-11-29T00:00:00,11/29/07,29 Nov 2007,09:40,REG,,,,SW,4Q07FHFMB,,,,LB,300601208,,EBLFY08,L3.21-10021,12/19/07,00,T,000,,,,,100,1,2338772,15046-84-1,IODINE-129,N,< 3.49,3.49,pCi/L,3.49,,0.53,2.42,Yes,N,,,,2.42,,0.53,pCi/L,VU,3.49,3.49,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.9480,,11/29/07,I129,,11/29/07,,11/29/07
1,SRS,FMC-002F,FMC-002F,368252,1Q08FHFMB-001,FMC-002F-SW-2008-03-03T00:00:00,3/3/08,03 Mar 2008,13:30,REG,,,,SW,1Q08FHFMB,,,,LB,F8C050116006,,STLFY08,EPA902.0MOD,3/23/08,00,T,RA0,,,,,100,1,2350052,15046-84-1,IODINE-129,N,1.38,1.38,pCi/L,1.38,,0.73,1.65,Yes,Y,,,,1.65,,0.73,pCi/L,VU,1.38,1.38,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.46,,3/3/08,I129,,3/3/08,,3/3/08
1,SRS,FMC-002F,FMC-002F,371143,2Q08FHFMB-001,FMC-002F-SW-2008-06-02T00:00:00,6/2/08,02 Jun 2008,12:15,REG,,,,SW,2Q08FHFMB,,,,LB,F8F030230001,,STLFY08,EPA902.0MOD,6/21/08,00,T,000,,,,,100,1,2354669,15046-84-1,IODINE-129,N,5.61,5.61,pCi/L,5.61,,0.66,1.60,Yes,Y,,,,1.60,,0.66,pCi/L,VU,5.61,5.61,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.47,,6/2/08,I129,,6/2/08,,6/2/08
1,SRS,FMC-002F,FMC-002F,373861,3Q08FHFMB-001,FMC-002F-SW-2008-08-27T00:00:00,8/27/08,27 Aug 2008,08:30,REG,,,,SW,3Q08FHFMB,,,,LB,214709001,,GELFY08A,RADA-006,9/18/08,00,T,000,,,,,0,1,2364685,15046-84-1,IODINE-129,N,5.65,5.65,pCi/L,5.65,0.4830,0.4830,2.08,Yes,Y,,,,2.08,0.4830,0.4830,pCi/L,VU,5.65,5.65,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.7970,,8/27/08,I129,,8/27/08,,8/27/08
1,SRS,FMC-002F,FMC-002F,375550,4Q08FHFMB-001,FMC-002F-SW-2008-12-04T00:00:00,12/4/08,04 Dec 2008,08:50,REG,,,,SW,4Q08FHFMB,,,,LB,F8L090248001,,STLFY08,EPA902.0MOD,12/25/08,00,T,000,,,,,100,1,2367446,15046-84-1,IODINE-129,N,1.53,1.53,pCi/L,1.53,,0.39,0.91,Yes,Y,,,,0.91,,0.39,pCi/L,VU,1.53,1.53,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.26,,12/4/08,I129,,12/4/08,,12/4/08
1,SRS,FMC-002F,FMC-002F,377855,1Q09FHFMB-001,FMC-002F-SW-2009-03-05T00:00:00,3/5/09,05 Mar 2009,14:05,REG,,,,SW,1Q09FHFMB,,,,LB,225815009,,GELFY08A,RADA-006,3/26/09,00,T,000,,,,,0,1,2376065,15046-84-1,IODINE-129,N,8.48,8.48,pCi/L,8.48,1.17,1.17,4.09,Yes,Y,,,,4.09,1.17,1.17,pCi/L,VU,8.48,8.48,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,,LIQ,,N,1.46,,3/5/09,I129,,3/5/09,,3/5/09
1,SRS,FMC-002F,FMC-002F,380431,2Q09FHFMB-004,FMC-002F-SW-2009-06-01T00:00:00,6/1/09,01 Jun 2009,09:55,REG,,,,SW,2Q09FHFMB,,,,LB,301067793,,EBLFY08,L3.21-10021,6/11/09,00,T,000,,,,,100,1,2380469,15046-84-1,IODINE-129,N,< 14.50,14.5,pCi/L,14.50,,0.95,4.56,Yes,N,,,,4.56,,0.95,pCi/L,VU,14.50,14.5,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.81,,6/1/09,I129,,6/1/09,,6/1/09
