BU,CT,IE,fuelType,TOT_SF,TOT_A,I127,I129,I131
50.0,4380.0,4.5,UOX,1129.96,99179300000.0,3.30372788106349e-06,1.02782966936101e-05,2.67597967580084e-171
50.0,4562.5,4.5,UOX,1108.96,97408600000.0,3.30372788106352e-06,1.02782964668698e-05,3.93008045695605e-178
50.0,4745.0,4.5,UOX,1088.35,95713600000.0,3.30372788106354e-06,1.02782962401295e-05,5.77191693114241e-185
50.0,4927.5,4.5,UOX,1068.13,94085900000.0,3.30372788106354e-06,1.02782960133893e-05,8.476932069174929e-192
50.0,5110.0,4.5,UOX,1048.3,92518300000.0,3.30372788106354e-06,1.0278295786649e-05,1.2449655489269802e-198
50.0,5292.5,4.5,UOX,1028.85,91005000000.0,3.30372788106354e-06,1.02782955599088e-05,1.8284200054535902e-205
50.0,5475.0,4.5,UOX,1009.76,89540800000.0,3.30372788106354e-06,1.02782953331686e-05,2.68531102665798e-212
50.0,5657.5,4.5,UOX,991.032,88121500000.0,3.30372788106354e-06,1.02782951064283e-05,3.94378495552615e-219
50.0,5840.0,4.5,UOX,972.661,86743400000.0,3.30372788106354e-06,1.02782948796881e-05,5.79204405785035e-226
50.0,6022.5,4.5,UOX,954.638,85403300000.0,3.30372788106354e-06,1.02782946529479e-05,8.50649179567245e-233
50.0,6205.0,4.5,UOX,936.956,84098500000.0,3.30372788106354e-06,1.02782944262077e-05,1.2493068413692e-239
50.0,6387.5,4.5,UOX,919.609,82826500000.0,3.30372788106354e-06,1.02782941994675e-05,1.8347958493134698e-246
50.0,6570.0,4.5,UOX,902.591,81585200000.0,3.30372788106354e-06,1.02782939727272e-05,2.69467491666689e-253
50.0,6752.5,4.5,UOX,885.895,80372800000.0,3.30372788106354e-06,1.0278293745987e-05,3.95753724275684e-260
50.0,6935.0,4.5,UOX,869.516,79187700000.0,3.30372788106354e-06,1.02782935192468e-05,5.81224136942658e-267
50.0,7117.5,4.5,UOX,853.447,78028300000.0,3.30372788106354e-06,1.02782932925067e-05,8.53615459925297e-274
50.0,7300.0,4.5,UOX,837.682,76893400000.0,3.30372788106354e-06,1.02782930657665e-05,1.2536632722384099e-280
50.0,7482.5,4.5,UOX,822.216,75781800000.0,3.30372788106354e-06,1.02782928390263e-05,1.84119392624058e-287
50.0,7665.0,4.5,UOX,807.043,74692500000.0,3.30372788106354e-06,1.02782926122861e-05,2.70407145929415e-294
